regime_id,regime_label,panel,series,year,technical_approval,road_access,actor_allocation,liability_risk,behavioural_rules,infrastructure,international,range,asynchrony,bridge,rationale,confidence,caveat,records
ROAT-JUR-UK:1861,1861 · Locomotive Act 1861,historical,Historical UK,1861,0,1,1,0,1,0,0,1,Mild,Exceptionalisation through special operational constraints,"Road locomotives were specifically constrained, but no mature vehicle-approval, liability, infrastructure or international-recognition architecture had formed.",High,"Liability and infrastructure coding is based on absence of demonstrated technology-specific integration, not absence of general law.",ROAT-2026-0264;ROAT-2026-0275
ROAT-JUR-UK:1865,1865 · Locomotives Act 1865 – Red Flag regime,historical,Historical UK,1865,0,1,1,0,1,0,0,1,Mild,Exceptionalisation / precautionary direct-control regime,The law intensified operating and crew constraints while other regulatory layers remained largely unintegrated.,High,"Do not equate restrictive regulation with low regulatory activity: N1 denotes bounded accommodation, not deregulation.",ROAT-2026-0265;ROAT-2026-0275
ROAT-JUR-UK:1878,1878 · Highways and Locomotives (Amendment) Act 1878,historical,Historical UK,1878,0,1,1,0,1,1,0,1,Mild,Regulatory recalibration,"Operational rules were recalibrated and infrastructure/bridge concerns received more structured treatment, while vehicle approval, liability and international layers remained immature.",Medium–High,Infrastructure is coded N1 because the regime reacts to roads/bridges but does not yet evidence system-wide infrastructural institutionalisation.,ROAT-2026-0266
ROAT-JUR-UK:1896,1896 · Locomotives on Highways Act 1896,historical,Historical UK,1896,2,2,2,0,2,1,0,2,Significant,Classificatory bridge: light locomotive ‘deemed to be a carriage’,"Reclassification and deeming integrate the technology into inherited carriage law without yet producing mature liability, infrastructure or international layers.",High,N2 does not imply comprehensive motor-vehicle law; it denotes transitional/intermediate integration. The classificatory bridge is coded separately as the mechanism supporting that state.,ROAT-2026-0267;ROAT-2026-0268
ROAT-JUR-UK:1903,1903 · Motor Car Act 1903,historical,Historical UK,1903,2,3,3,1,3,1,0,3,Strong,Dedicated licensing/registration institutionalisation,"Operation, driver identity and behavioural governance become dedicated and stable before liability, infrastructure and international recognition catch up.",High,"Driver licensing was initially identification-oriented rather than a mature competence-testing regime; N3 reflects dedicated legal institutionalisation, not full substantive maturity.",ROAT-2026-0269;ROAT-2026-0270
ROAT-JUR-UK:1926,1926 · International Convention relative to Motor Traffic,historical,Historical UK / international,1926,3,3,3,1,3,2,3,2,Significant,Mutual-recognition / certification bridge,"Approved type/vehicle examination, driver authorisation and international certificate recognition are institutionalised, while liability and infrastructure remain less converged.",Medium–High,The liability score reflects the UK/European motor-risk environment rather than obligations created by the 1926 Convention itself.,ROAT-2026-0271;ROAT-2026-0273
ROAT-JUR-UK:1930,1930 · Road Traffic Act 1930,historical,Historical UK,1930,3,4,4,4,4,3,3,1,Mild,System-level institutionalisation and risk pooling,"Road operation, driver conduct, compulsory third-party insurance and enforcement are routinised within a mature system of automobility; technical/infrastructure/international layers remain highly institutionalised but not coded as fully routinised.",High,N4 is not deregulation: the mature system is more institutionally dense than the 1865 regime.,ROAT-2026-0272;ROAT-2026-0277;ROAT-2026-0293
ROAT-JUR-EU:2018,2018 · EU type-approval baseline + Vienna/WP.29 bridge architecture,longitudinal,EU / UNECE,2018,2,1,0,1,2,1,2,2,Significant,Equivalence/exemption + compatibility bridges,"EU law can accommodate new vehicle technologies through type-approval exception/equivalence mechanisms, but full-ADS operational and actor layers remain largely national or inherited.",Medium,2018 is used as an analytical baseline; Regulation 2018/858 applied later and the score reflects the emerging architecture rather than one single commencement date.,ROAT-2026-0036;ROAT-2026-0039;ROAT-2026-0010
ROAT-JUR-EU:2022,2022 · EU ADS type approval + Vienna Convention Article 34bis,longitudinal,EU / UNECE,2022,3,2,2,1,2,1,2,2,Significant,Agency/deeming bridge + dedicated technical institutionalisation,Dedicated ADS type-approval requirements reach N3 while Article 34bis bridges the driver requirement only where both technical rules and domestic operating law are satisfied; operation and actor allocation therefore remain less normalised.,High,Article 34bis entered into force on 14 July 2022; it does not designate the ADS as the legal driver and does not create uniform domestic operational law.,ROAT-2026-0040;ROAT-2026-0011;ROAT-2026-0273
ROAT-JUR-EU:2026,2026 · Consolidated EU ADS type approval + new UNECE ADS Regulation/GTR,longitudinal,EU / UNECE,2026,3,2,2,2,2,1,3,2,Significant,Dedicated technical harmonisation + persistent operational bridges,"Technical and international ADS regulation is comparatively mature, including the June 2026 UNECE ADS instruments, while road operation, actor allocation and infrastructure remain more fragmented. EU 2026/481 moves automated parking toward unlimited-series market access.",High,"Technical approval is coded N3 overall because N4-like unlimited-series treatment currently applies to a narrower automated-parking sublayer, not to all ADS deployment.",ROAT-2026-0177;ROAT-2026-0217;ROAT-2026-0218;ROAT-2026-0227;ROAT-2026-0011
