regime_id,regime_label,panel,ddt,fallback,monitoring,remote_assistance,remote_intervention,remote_driving,dispatch,service_operation,lifecycle,testing,keeper,rationale,confidence,term,framework,verification,records
RC-001,Human driver,current,Yes,Conditional,Yes,No,No,No,Strategic only,No,No,No,No,"Important baseline: the legal concept of driver is not simply replaced by an 'operator'; some regimes preserve, redistribute or deem performance of driver duties.",,Driver,UNECE / 1968 Vienna Convention,Primary-source checked,ROAT-2026-0009;ROAT-2026-0011
RC-002,ADS as functional substitute for driver requirement,current,System,System-dependent,Self-monitoring,Possible interface,Possible interface,No human remote driving,No,No,Technical compliance,No,No,"Critical ontology distinction: a technical system may perform the driving task without becoming the person legally responsible for service operation, compliance or supervision.",,Automated driving system satisfying Article 34 bis conditions,UNECE / 1968 Vienna Convention,Primary-source checked,ROAT-2026-0009;ROAT-2026-0011;ROAT-2026-0300
RC-003,Remote assistance / remote interaction,current,No,Support only,Yes,Yes,Limited,No,Possible,No,No,No,No,Must remain distinct from remote driving. Advice/assistance does not automatically mean takeover of lateral and longitudinal control.,,Remote assistance / remote interaction,UNECE ADS work / technical interpretation,ROAT verified source,ROAT-2026-0193
RC-004,Transport / service operator,current,No,Organisational,Entity-level,Arranged,Arranged,No,Yes,Yes,Possible,No,No,"Do not conflate with vehicle owner, ADS manufacturer/provider or remote human supervisor.",,Transport service operator,European Union – Regulation (EU) 2022/1426,Primary-source checked via ROAT,ROAT-2026-0040;ROAT-2026-0218;ROAT-2026-0311;ROAT-2026-0312
RC-005,Remote management function,current,No,Support,Yes,Yes,Yes,Not necessarily,Yes,Supports,Possible,No,No,"Ontology should model this primarily as a function or organisational capability, not automatically as one named natural person.",,Remote management,European Union – Regulation (EU) 2022/1426 / JRC interpretation,Primary / official interpretation checked,ROAT-2026-0311;ROAT-2026-0040
RC-006,Authorised self-driving entity / ADS legal-responsibility entity,current,No,No direct,Entity-level,Possible,Possible,No,No,No / distinct,Yes,No,No,High-value comparison for Slovak drafting: UK separates the entity responsible for the authorised self-driving feature from individual users and service-operation roles.,,Authorised self-driving entity (ASDE),Great Britain – Automated Vehicles Act 2024,Primary-source checked,ROAT-2026-0171
RC-007,User with limited in-vehicle legal duties during self-driving,current,No while engaged,Transition,Readiness duties,No,No,No,Limited,No,No,No,No,"Useful to prevent collapsing 'driver', 'user' and 'operator' into one category.",,User-in-charge,Great Britain – Automated Vehicles Act 2024,Primary-source checked,ROAT-2026-0171
RC-008,No-user-in-charge operational entity,current,No,Organisational,Entity-level,Arranged,Arranged,No,Yes,Yes,Possible,No,No,Potential model for commercial driverless operation in Slovakia where no human user-in-charge is present.,,No-user-in-charge operator (NUIC operator),Great Britain – Automated Vehicles Act 2024,Primary-source checked,ROAT-2026-0171;ROAT-2026-0301
RC-009,Technical remote supervisor,current,No continuous,Support,Yes,Yes,Legally constrained,No,No,No,No,No,No,A key warning against translating Technische Aufsicht simply as remote driver: German law deliberately separates supervision/authorisation from continuous vehicle control.,,Technische Aufsicht,Germany – StVG / AFGBV,Primary-source checked,ROAT-2026-0170;ROAT-2026-0205
RC-010,Automated road transport system operator,current,No,Organisational,Entity-level,Arranged,Arranged,No,Yes,Yes,Possible,No,No,"France structures responsibility around the transport system/service, not only around the individual vehicle.",,Exploitant du système de transport routier automatisé,France – STRA framework,Primary-source checked via ROAT,ROAT-2026-0307;ROAT-2026-0308
RC-011,Authorised remote intervention person,current,Limited intervention,Support,Yes,Yes,Yes,Not ordinary,No,No,No,No,No,French law is useful because it expressly links remote intervention to personal legal responsibility; this is a distinct design choice from pure technical supervision.,,Personne habilitée à intervenir à distance,France – STRA / automated-driving framework,Primary-source checked via ROAT,ROAT-2026-0307;ROAT-2026-0308
RC-012,In-vehicle operator during automated operation,current,No,MRM request,Yes,No remote,In-vehicle commands,No,Route / stops,No,No,No,No,Useful counter-example: Croatia explicitly names an in-vehicle operator separately from a remote intervention operator.,,Operator u vozilu,Croatia – Road Traffic Safety Act,Primary-source checked via ROAT,ROAT-2026-0303;ROAT-2026-0262
