number,title,question,basis,operationalisation,asset,output,checks,rule,source
1,Decision question & scope,"What concrete regulatory decision must the analysis support, at what level and on what date?","SIENNA scoping; distinguish technology, artefact and application; avoid pitching the analysis too high in the technology stack.","Fix the ADS/FAV use case, jurisdiction, legal snapshot date, ODD, test/deployment status, passenger/goods/service context and the precise decision to be supported.",Cross-section 2026 – AV Normalisation; Intelligence Register,Scope note + assumptions + decision question,Vehicle vs ADS vs service/system; public-road use; testing vs ordinary deployment; commercial vs non-commercial use.,Do not code or diagnose gaps before the object and legal time-slice are fixed.,https://doi.org/10.56675/rtn1
2,Sociotechnical mapping,"Which features, functions and affordances of the technology matter legally and socially?","Essential characteristics, salient features and affordances; intended function and users; who drives the technology; interests and business model.","Map DDT, fallback/MRM, ODD, remote management/intervention, control-centre functions, data/logging, updates, cybersecurity, service organisation and lifecycle dependencies.",Roles & Concepts; Role Function Matrix,Function–actor–technology map,Absence/change of human driver; remote functions; ODD limits; software/update lifecycle; system/service dependencies.,"Regulate the relevant practice and sociotechnical context, not merely the label attached to the technology.",https://doi.org/10.56675/rtn1
3,Problem framing,"What is the problem represented to be, by whom, and what alternative frames exist?","Problem frames reflect roles, interests, values, information and implicit assumptions; separate problem definition from solution.","Record competing frames before legal conclusions: safety, market access, innovation, road access, liability, labour, privacy/data, cybersecurity, local impacts and cross-border operation.",Source Audit; analytical case files,Problem-frame matrix,Manufacturer/operator frame vs authority/road-user/worker/insurer/local-community frames.,A preferred solution is not evidence that the problem was correctly framed.,https://doi.org/10.56675/rtn1
4,"Stakeholders, impacts & ethics","Who benefits, who bears risk or cost, and which rights/values are affected?",SIENNA ethical assessment: scope; stratify; describe; identify impacts/stakeholders; identify and analyse ethical issues; evaluate/recommend.,"Map direct/indirect benefits and harms, distributional effects and vulnerable groups; distinguish empirical risk from normative conflict.",Roles & Concepts; People & Organisations,Stakeholder–impact–ethics matrix,"Safety, responsibility, privacy/surveillance, employment, autonomy/de-skilling, cybersecurity, market/data power, accessibility and vulnerable road users.",Stakeholder salience informs the analysis but does not by itself determine the legal outcome.,https://doi.org/10.56675/rtn1
5,Multi-level legal landscape,What law already applies before assuming that new AV-specific law is needed?,SIENNA legal method: scope; identify legal issues; analyse international/regional/national norms; identify gaps/challenges.,"Map international/UNECE, EU, national and where relevant local/private/standards layers; search by legal function/category, not only by technology name.",Intelligence Register; ROAT Regulatory Map; Public Library,Legal hierarchy / regulatory-stack map,Vienna Convention/WP.1; UNECE/WP.29; EU type approval; national road traffic/testing/operator rules; liability/insurance; AI/data/cybersecurity; standards/guidance.,An apparent lacuna may disappear once inherited general law and adjacent regulatory layers are examined.,https://doi.org/10.56675/rtn1
6,ROAT functional-layer coding,How deeply is automated driving legally embedded in each regulatory function?,TechReg provides the wider process; the N0–N4 vector is a ROAT-specific empirical module.,"Code technical approval; road access/operation; actor allocation; liability/risk; behavioural rules; infrastructure; international/cross-border recognition. Record evidence, rationale, confidence and caveat.",Layer Coding – AV History; Cross-section 2026 – AV Normalisation,N0–N4 layer vector + asynchrony signal,"Separate mature type approval from lawful road/service deployment; do not collapse operator, user, ADS and remote roles.","Scores measure legal embedding, not regulatory intensity. Layer range is a descriptive asymmetry signal, not a statistical index.",https://docs.google.com/spreadsheets/d/1G_jtoKunmcY0BTuTCEZBe21cMxiOH6fJdsduZRRKXGc/edit
7,Disconnect / gap diagnosis,Where and how does the fit between law and sociotechnical practice break?,"Descriptive disconnect; normative disconnect; business/use-model disconnect. Downstream symptoms include need for special law, uncertainty, over-/under-inclusiveness and obsolescence.","Classify each alleged gap. Distinguish true lacuna from interpretive uncertainty, implementation gap, enforcement deficit, unintended effect or obsolete premise.",Source Audit; jurisdictional legal analyses,Gap/disconnection register,Driver-based definitions; testing rules used for deployment; actor-role mismatch; commercial-use assumptions; outdated human-control premises.,A genuinely normative disconnect may require legislative choice rather than aggressive interpretation.,https://doi.org/10.56675/rtn1
8,Bridge / gate analysis,What legal mechanism lets one regulatory layer function while adjacent layers remain less mature?,TechReg moves from gap analysis to intervention; ROAT adds an AV-specific bridge/gate taxonomy for asynchronous legal embedding.,"Identify deeming, equivalence/exemption, conditional permits, safety cases, service-level validation, operator licensing, mutual recognition, transitional rules and other bridges/gates.",Layer Coding – AV History; Cross-section 2026 – AV Normalisation,Bridge/gate map + legal effect,Article 34bis; Article 39/equivalence; national testing permits; France safety-case/mise-en-service; Croatia service validation; GB staged permits.,A bridge manages inter-layer mismatch; it does not by itself prove full regulatory normalisation.,https://docs.google.com/spreadsheets/d/1G_jtoKunmcY0BTuTCEZBe21cMxiOH6fJdsduZRRKXGc/edit
9,Justification & innovation posture,"Why intervene, whose interests are served, and what stance toward innovation is justified?","Market failure; public interests/rights; SHEC rationales; private-interest/capture critique. Innovation governance: precaution, permissionless innovation, responsible innovation, innovation principle.","Test necessity, proportionality, distributional effects, capture risk, uncertainty, reversibility, observability and capacity to learn through monitored deployment.",Jurisdictional analysis; Draft Legislative Architecture,Regulatory-justification memo + innovation posture,Safety benefits and residual risk; market access; learning-by-testing; irreversible physical harm; regulatory cost; incumbent/new-entrant interests.,Reject the shortcut ‘new technology = new law’. The intervention needs an independent justification.,https://doi.org/10.56675/rtn1
10,Regulatory design & instruments,"Who or what should be regulated, with which instrument, and how will the control loop work?","Rules/principles/standards; 8 Cs: command, competition, consensus, communication, contract, claims, code, compensation. Control loop: standard-setting, monitoring, behaviour modification/enforcement.","Allocate obligations to the correct actor/function; combine public law, technical requirements, licences/permits, standards, contractual allocation, disclosure, code/design and insurance/compensation where appropriate.",Draft Legislative Architecture; Amendment Draft – CPT 1329; Roles & Concepts,Intervention-design matrix + enforcement loop,Type approval; operator/service authorisation; control-centre duties; remote-management constraints; incident/in-use reporting; sanctions; insurance/compensation; software/update controls.,"Always identify who sets the standard, who monitors compliance and who can impose or trigger corrective action.",https://doi.org/10.56675/rtn1
